iteration,elapsed_ms,energy,max_violation,avg_violation,min_phi,rms_offset,rms_normal,rms_landmark,rms_guide,max_control,num_violating
165,1026.0599,0.0617420021,0,0,0.0286606923,0.0839545801,0,0.0104555795,0,20,0
166,1027.4542,0.061649394,0,0,0.0281319637,0.0839511305,0,0.0104295276,0,20,0
167,1028.9371,0.0335029977,0,0,0.0289479438,0.0839601755,0,0.0100470632,0,10,0
168,1030.48,0.0333749568,0,0,0.0280590691,0.0839672834,0,0.00974298082,0,10,0
169,1031.924,0.0332735876,0,0,0.0291557014,0.0839740708,0,0.0095349662,0,10,0
170,1033.7198,0.0331907977,0,0,0.0277360063,0.0839796513,0,0.00931661483,0,10,0
171,1035.3561,0.0331230512,0,0,0.029679101,0.0839855224,0,0.00920373853,0,10,0
172,1036.7609,0.0330632861,0,0,0.0269942563,0.0839902237,0,0.00901034288,0,10,0
173,1038.132,0.0330138846,0,0,0.0304453801,0.083993271,0,0.0089957146,0,10,0
174,1039.5042,0.0329772509,0,0,0.0250637736,0.083996512,0,0.00876003969,0,10,0
175,1041.4046,0.0329331484,0,0,0.0304501094,0.0839984044,0,0.00883989502,0,10,0
176,1042.7815,0.0329018997,0,0,0.0280122068,0.0840008706,0,0.00873501413,0,10,0
177,1044.1869,0.0328768348,0,0,0.0287830736,0.0840025917,0,0.00871396344,0,10,0
178,1045.6624,0.0328529115,0,0,0.0284228157,0.0840034187,0,0.00866824482,0,10,0
179,1047.1913,0.0328286984,0,0,0.0285824556,0.084004052,0,0.00863713864,0,10,0
180,1048.6674,0.0328041703,0,0,0.0285139419,0.0840052515,0,0.00860144198,0,10,0
181,1050.2168,0.0327802023,0,0,0.0285479408,0.0840070769,0,0.00857011788,0,10,0
182,1051.8935,0.0327583484,0,0,0.0285271294,0.0840080529,0,0.00853916444,0,10,0
183,1053.2878,0.0327339585,0,0,0.0285411309,0.0840095878,0,0.00851037446,0,10,0
184,1054.6643,0.0327092471,0,0,0.0285315625,0.0840109736,0,0.00848203339,0,10,0
185,1056.0463,0.0326834588,0,0,0.028539231,0.0840113759,0,0.00845576636,0,10,0
186,1057.4348,0.0326584713,0,0,0.0285331681,0.0840128511,0,0.00843059458,0,10,0
187,1058.8111,0.0326334571,0,0,0.0285390299,0.0840143934,0,0.00840703212,0,10,0
188,1060.1867,0.0326079706,0,0,0.0285338424,0.0840158537,0,0.00838412531,0,10,0
189,1061.6103,0.0325812554,0,0,0.0285392385,0.0840172842,0,0.00836295635,0,10,0
190,1063.1219,0.0325551429,0,0,0.0285340808,0.0840199813,0,0.00834200718,0,10,0
191,1064.7515,0.0325285471,0,0,0.0285402033,0.084021233,0,0.0083224792,0,10,0
192,1066.2166,0.0325015692,0,0,0.0285334513,0.0840223953,0,0.00830384716,0,10,0
193,1067.9695,0.0324742796,0,0,0.0285423007,0.0840233415,0,0.00828670803,0,10,0
194,1069.3474,0.0324462967,0,0,0.0285309553,0.0840240419,0,0.0082699405,0,10,0
195,1070.7227,0.0324178484,0,0,0.0285473149,0.084024772,0,0.00825455505,0,10,0
196,1072.0935,0.0323886802,0,0,0.0285234973,0.0840256363,0,0.00823928416,0,10,0
197,1073.4772,0.0181029494,0,0,0.028667748,0.0840332359,0,0.00805268809,0,5,0
198,1074.8543,0.0180543395,0,0,0.0284915082,0.0840401277,0,0.00793015026,0,5,0
199,1076.2415,0.018016954,0,0,0.028783191,0.0840475187,0,0.00783745386,0,5,0
200,1077.6131,0.0179860053,0,0,0.0282654054,0.0840523615,0,0.00774843339,0,5,0
201,1079.0574,0.0179595909,0,0,0.0292424243,0.0840573981,0,0.00770804984,0,5,0
202,1080.6615,0.0179379952,0,0,0.0273956824,0.0840626284,0,0.00760712847,0,5,0
203,1082.4739,0.0179255252,0,0,0.0304430518,0.0840679184,0,0.00767109869,0,5,0
204,1084.6448,0.0179059,0,0,0.0276024546,0.0840699971,0,0.00754467119,0,5,0
205,1086.0256,0.0178953253,0,0,0.0292509384,0.0840716735,0,0.0075715119,0,5,0
206,1087.3954,0.0178849761,0,0,0.0282146893,0.0840742439,0,0.00752381561,0,5,0
207,1088.7676,0.0178752757,0,0,0.0288909189,0.0840765908,0,0.00752531039,0,5,0
208,1090.1422,0.0178662771,0,0,0.0283804461,0.0840793103,0,0.00749533717,0,5,0
209,1091.5181,0.0178571221,0,0,0.0287863091,0.0840826258,0,0.00749126635,0,5,0
210,1092.9098,0.0178484125,0,0,0.0284368563,0.0840853304,0,0.00746747293,0,5,0
211,1094.2967,0.0178389081,0,0,0.0287570339,0.0840878636,0,0.00746283634,0,5,0
212,1095.9619,0.0178310945,0,0,0.0284439642,0.0840903446,0,0.0074408981,0,5,0
213,1097.5056,0.0178223104,0,0,0.0287688337,0.0840928629,0,0.00743815443,0,5,0
214,1098.9441,0.0178132281,0,0,0.028413076,0.0840953365,0,0.00741732959,0,5,0
215,1101.0846,0.0178053294,0,0,0.0288261268,0.0840971246,0,0.00741679687,0,5,0
216,1102.4651,0.0177969838,0,0,0.028324157,0.0840987265,0,0.00739361485,0,5,0
217,1103.8355,0.0177874864,0,0,0.0289756525,0.0840992108,0,0.00740253134,0,5,0
218,1105.2097,0.0177802156,0,0,0.0280950777,0.0841018856,0,0.00736870989,0,5,0
219,1106.5848,0.0177712691,0,0,0.0293656122,0.0841042772,0,0.00739671709,0,5,0
220,1107.9625,0.0177653559,0,0,0.0275093652,0.0841066241,0,0.00733690336,0,5,0
221,1109.3438,0.0177593342,0,0,0.030439103,0.0841092467,0,0.0074169701,0,5,0
222,1111.4242,0.017749725,0,0,0.0282072201,0.0841105953,0,0.00734522659,0,5,0
223,1113.0014,0.0177439198,0,0,0.028765101,0.0841122046,0,0.00735751633,0,5,0
224,1114.8537,0.0177402248,0,0,0.0285310298,0.0841135383,0,0.0073473542,0,5,0
225,1116.4318,0.0177347004,0,0,0.0286381729,0.084114857,0,0.0073473677,0,5,0
226,1118.3745,0.0177305624,0,0,0.02858028,0.0841160566,0,0.00734237581,0,5,0
227,1119.7533,0.0177248472,0,0,0.0286122616,0.084117189,0,0.00734051503,0,5,0
228,1121.1269,0.0177204701,0,0,0.0285945795,0.0841189101,0,0.00733664585,0,5,0
229,1122.4973,0.0177146214,0,0,0.0286054425,0.0841204971,0,0.00733440183,0,5,0
